Instance,Unloaded_NoCap,Time_NoCap(s),Gap_NoCap(%),Unloaded_Cap,Time_Cap(s),Gap_Cap(%)
instance_001,134,3600.14,87.31,132,3600.09,90.15
instance_002,159,3600.06,103.66,159,3600.04,103.84
instance_003,96,3601.39,509.37,79,3602.46,641.38
instance_004,71,3602.05,549.3,71,3600.99,549.3
instance_005,183,3600.08,115.3,183,3600.14,115.3
instance_006,108,3600.1,31.9,108,3600.49,32.0
instance_007,243,3600.08,5.35,243,3600.02,5.35
instance_008,101,3600.04,3.04,101,3600.04,3.12
