Instance,Unloaded_NoCap,Time_NoCap(s),Gap_NoCap(%),Unloaded_Cap,Time_Cap(s),Gap_Cap(%)
instance_001,600,600.09,48.83,600,600.11,48.83
instance_002,1112,600.4,7.91,1112,600.43,7.91
instance_003,636,600.67,106.29,636,600.68,106.29
instance_004,894,600.65,46.09,894,600.66,46.09
instance_005,801,26.18,0.0,801,25.68,0.0
instance_006,733,600.59,25.1,733,600.51,25.1
instance_007,467,0.36,0.0,467,0.35,0.0
instance_008,346,138.44,0.0,346,140.84,0.0
